final_mstt,final_mss,total_trips,total_recalculations,total_obstacle_broadcasts,avg_trip_time,avg_wait_per_vehicle,timesteps_run,market_penetration,communication_radius,num_vehicles,num_obstacles,label,runtime_seconds,seed
8.081,0.743,6410,479,1872,7.723,0.292,490,1.0,0.1,100,2,CR=0.1_seed=0,109.62,0
8.499,0.769,6177,416,3615,8.026,0.585,490,1.0,0.1,100,2,CR=0.1_seed=1,110.99,1
7.334,0.72,6463,404,2486,7.673,0.385,490,1.0,0.1,100,2,CR=0.1_seed=2,108.98,2
8.081,0.743,6410,479,1872,7.723,0.292,490,1.0,0.3,100,2,CR=0.3_seed=0,106.3,0
8.499,0.769,6177,416,3615,8.026,0.585,490,1.0,0.3,100,2,CR=0.3_seed=1,100.18,1
7.334,0.72,6463,404,2486,7.673,0.385,490,1.0,0.3,100,2,CR=0.3_seed=2,114.33,2
8.081,0.743,6410,479,1872,7.723,0.292,490,1.0,0.5,100,2,CR=0.5_seed=0,109.97,0
8.499,0.769,6177,416,3615,8.026,0.585,490,1.0,0.5,100,2,CR=0.5_seed=1,111.12,1
7.334,0.72,6463,404,2486,7.673,0.385,490,1.0,0.5,100,2,CR=0.5_seed=2,109.41,2
8.081,0.743,6410,479,1872,7.723,0.292,490,1.0,0.75,100,2,CR=0.75_seed=0,109.35,0
8.499,0.769,6177,416,3615,8.026,0.585,490,1.0,0.75,100,2,CR=0.75_seed=1,110.88,1
7.334,0.72,6463,404,2486,7.673,0.385,490,1.0,0.75,100,2,CR=0.75_seed=2,112.96,2
8.671,0.718,6304,431,1838,7.863,0.292,490,1.0,1.0,100,2,CR=1.0_seed=0,151.25,0
8.141,0.763,5997,361,3382,8.277,0.564,490,1.0,1.0,100,2,CR=1.0_seed=1,136.35,1
7.311,0.718,6509,407,1195,7.619,0.184,490,1.0,1.0,100,2,CR=1.0_seed=2,141.94,2
8.351,0.759,6258,426,2946,7.922,0.471,490,1.0,1.5,100,2,CR=1.5_seed=0,127.47,0
7.849,0.753,6323,421,2730,7.841,0.432,490,1.0,1.5,100,2,CR=1.5_seed=1,127.91,1
7.765,0.716,6364,428,1510,7.789,0.237,490,1.0,1.5,100,2,CR=1.5_seed=2,124.8,2
